1,1. 在计算机应用中，“计算机辅助设计”的英文缩写为___________,<p>A. CAD</p>   <p>B. CAM</p>   <p>C. CAE</p>   <p>D. CAT</p>,4,A,我是试题lyc,,6
1,2. 微型计算机中，合称为中央处理单元(CPU)的是指___________,A．运算器和控制器    B．累加器和算术逻辑运算部件(ALU)  C．累加器和控制器    D．通用寄存器和控制器,4,A,我是试题lyc,,6
1,3. 计算机系统的“主机”由___________构成,A．CPU，内存储器及辅助存储器    B．CPU和内存储器  C．存放在主机箱内部的全部器件   D．计算机的主板上的全部器件,4,B,我是试题lyc,,6
1,4. 冯?诺依曼计算机工作原理的设计思想是___________,A．程序设计    B．程序存储    c．程序编制    D．算法设计,4,B,我是试题lyc,,6
1,5. 世界上最先实现的程序存储的计算机是___________,A．ENIAC    B．EDSAC    C．EDVAC    D．UNIVAC,4,B,我是试题lyc,,6
1,6. 通常，在微机中标明的P4或奔腾4是指___________,A．产品型号    B．主频    C．微机名称    D．微处理器型号,4,D,我是试题lyc,,6
1,7. 连接计算机系统结构的五大基本组成部件一般通过___________,A．适配器    B．电缆    c．中继器    D．总线,4,D,我是试题lyc,,6
1,8. 在计算机领域中通常用主频来描述___________,A．计算机的运算速度    B．计算机的可靠性  C．计算机的可运行性    D．计算机的可扩充性,4,A,我是试题lyc,,6
1,9. 下列计算机接口中，可以直接进行“插拔”操作的是___________,A．COM    B．LPT    C．PCI    D．USB,4,D,我是试题lyc,,6
2,10. 在衡量计算机的主要性能指标中，字长是__________,A．计算机运算部件一次能够处理的二进制数据位数  B．8位二进制长度  C．计算机的总线数  D．存储系统的容量,4,AB,我是试题lyc,,6
